Language,Phonemes
SINHALESE,"['b', 'cç', 'd̪', 'j', 'k', 'l', 'm', 'n', 'p', 's', 't̪', 'ŋ', 'ɖ', 'ɟʝ', 'ɡ', 'ɦ', 'ɲ', 'ɸ', 'ɾ', 'ʃ', 'ʈ', 'ʋ', 'aː', 'a̟', 'eː', 'e̞', 'iː', 'oː', 'o̞', 'uː', 'æː', 'ɑ', 'ə', 'əː', 'ɪ', 'ʊ']"
EPENA PEDEE,"['b', 'd', 'h', 'j', 'k', 'kʰ', 'p', 'pʰ', 'r', 's', 't', 'tʰ', 't̠ʃ', 'ɡ', 'ɾ', 'ʔ', 'β̞', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɨ', 'ɨ̃', 'ɨ̞', 'ɨ̞̃']"
SIERRA MIWOK,"['h', 'j', 'k', 'l', 'm', 'n', 'p', 's̪', 't', 't̠ʃ', 't̪', 'w', 'ŋ', 'ʃ', 'ʔ', 'a', 'i', 'u', 'ɔ', 'ɛ', 'ɨ']"
SALIBA,"['b', 'd', 'd̠ʒ', 'h', 'k', 'kʷ', 'l', 'm', 'n', 'n̠', 'p', 'r', 's', 't', 't̠ʃ', 'x', 'ɡ', 'ɡʷ', 'ɸ', 'ɾ', 'ʔ', 'β', 'a', 'ã', 'e̞', 'ẽ̞', 'i', 'ĩ', 'o̞', 'õ̞', 'u', 'ũ']"
SAAMI,"['b', 'bʲ', 'd̠ʒ', 'd̪z̪|dz', 'd̪z̪ʲ|dzʲ', 'd̪|d', 'd̪ʲ|dʲ', 'f', 'fʲ', 'h', 'hʲ', 'j', 'k', 'kʲ', 'l̪|l', 'l̪ʲ|lʲ', 'm', 'mʲ', 'n̪|n', 'n̪ʲ|nʲ', 'p', 'pʲ', 'r̪|r', 'r̪ʲ|rʲ', 's̪|s', 's̪ʲ|sʲ', 't̠ʃ', 't̪s̪|ts', 't̪s̪ʲ|tsʲ', 't̪|t', 't̪ʲ|tʲ', 'ŋ', 'ŋʲ', 'ɡ', 'ɡʲ', 'ɲ', 'ʃ', 'β̞', 'β̞ʲ', 'a', 'e̞', 'i', 'o̞', 'u', 'ɨ']"
SIONA,"['h', 'hʷ', 'j', 'k', 'kʷ', 'kʷˀ', 'kˀ', 'm', 'n', 'p', 'pˀ', 's', 'sˀ', 't̠ʃ', 't̪', 'w', 'ʈˀ', 'ʔ', 'a', 'ã', 'e̞', 'ẽ̞', 'i', 'ĩ', 'o̞', 'õ̞', 'u', 'ũ', 'ɨ', 'ɨ̃']"
SA'BAN,"['b', 'd', 'd̠ʒ', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 's', 't', 't̠ʃ', 'w', 'ŋ', 'ɡ', 'ɲ', 'ɾ', 'ʔ', 'a', 'i', 'u', 'ɔ', 'ə', 'ɛ', 'ɨ']"
SOMALI,"['b', 'd̪', 'f', 'h', 'j', 'kʰ', 'l', 'm', 'n', 's', 't̠ʃ', 't̪ʰ', 'w', 'x', 'ħ', 'ɖ̰', 'ɡ', 'ɢ', 'ɾ', 'ʃ', 'ʔ', 'ʕ', 'a', 'e̞', 'i', 'æ', 'ɔ', 'ɛ', 'ɪ', 'ɵ̞', 'ʉ̞', 'ʊ']"
SPANISH,"['f', 'j', 'k', 'l̪', 'm', 'n̪', 'p', 'r', 's̪', 't̠ʃ', 't̪', 'w', 'x', 'ð', 'ɣ', 'ɲ', 'ʎ', 'β', 'θ', 'ᴅ', 'a', 'e̞', 'i', 'o̞', 'u']"
SELEPET,"['h', 'j', 'kʰ', 'l', 'm', 'mb', 'n̪', 'n̪d̪', 'pʰ', 's', 't̪ʰ', 'w', 'ŋ', 'ŋɡ', 'ɾ', 'a', 'i', 'o', 'u', 'ɑ̝', 'ɛ']"
SOCOTRI,"['R̪|R', 'R̪̰|R̰', 'b', 'd̪|d', 'f', 'h', 'j', 'k', 'kʼ', 'l̪|l', 'l̪̰|l̰', 'm', 'n̪|n', 's̪|s', 's̪ʼ|sʼ', 't̪|t', 't̪ʼ|tʼ', 'w', 'z̪|z', 'ħ', 'ɡ', 'ɬ̪|ɬ', 'ɮ̪|ɮ', 'ʃ', 'ʃʼ', 'ʒ', 'ʔ', 'ʕ', 'a', 'e̞', 'i', 'o̞', 'u', 'ə']"
SIRIONO,"['b', 'h', 'j', 'k', 'kʲ', 'mb', 'n̠d̠ʒ', 'n̪d̪|nd', 'p', 's̪|s', 't̠ʃ', 't̪|t', 'w', 'ŋɡ', 'ɾ̪|ɾ', 'ʃ', 'a', 'ã', 'e', 'ẽ', 'i', 'iˠ', 'ĩ', 'ĩˠ', 'o', 'õ', 'u', 'ũ']"
NAMBAKAENGO,"['j', 'k', 'kʰ', 'kʲ', 'kʷ', 'l̪|l', 'm', 'mb', 'mbʷ', 'mʷ', 'n̪d̪|nd', 'n̪d̪ʷ|ndʷ', 'n̪|n', 'n̪ʲ|nʲ', 'n̪ʷ|nʷ', 'p', 'pʰ', 'pʲ', 'pʷ', 's̪|s', 't̪|t', 't̪ʰ|tʰ', 't̪ʲ|tʲ', 't̪ʷ|tʷ', 'v', 'w', 'ŋ', 'ŋɡ', 'ŋɡʷ', 'ŋʷ', 'a', 'ã', 'e̞', 'e̞i', 'i', 'ĩ', 'o̞', 'õ̞', 'u', 'ũ', 'æ', 'æ̃', 'ɑ', 'ɑ̃', 'ə', 'ə̃', 'ʉ']"
SUENA,"['b', 'd̪z̪|dz', 'd̪|d', 'j', 'k', 'm', 'n̪|n', 'p', 's̪|s', 't̪|t', 'w', 'ɡ', 'ɾ̪|ɾ', 'a', 'i', 'u', 'ɔ', 'ɛ']"
SAVOSAVO,"['k', 'l', 'm', 'mb', 'n', 'nd', 'p', 's', 't', 'z', 'ŋ', 'ŋɡ', 'ɣ', 'ɲ', 'ɲɟ', 'ɾ', 'β', 'a', 'e̞', 'i', 'o̞', 'u']"
SUI,"['b', 'b̰', 'd̪|d', 'd̪̰|d̰', 'h', 'j', 'j̰', 'k', 'kʰ', 'kʷ', 'kʷʰ', 'l̪|l', 'm', 'm̥', 'm̰', 'n̪|n', 'n̪̥|n̥', 'n̪̰|n̰', 'p', 'pʰ', 'q', 'qʰ', 's̪|s', 'ts', 'tsʰ', 't̠ʃ', 't̠ʃʰ', 't̪|t', 't̪ʰ|tʰ', 'w', 'w̰', 'x', 'z̪|z', 'ŋ', 'ŋʷ', 'ŋ̥', 'ŋ̥ʷ', 'ŋ̰', 'ɣ', 'ɣ̰', 'ɲ', 'ɲ̥', 'ɲ̰', 'ɸ', 'ʁ', 'ʃ', 'ʔ', 'a', 'e̞', 'i', 'o̞', 'u', 'ə', 'ɜ']"
TAMANG,"['h', 'j', 'k', 'kʰ', 'l̪', 'm', 'n̪', 'p', 'pʰ', 'r̪', 's̪', 'ts͇', 'ts͇ʰ', 't̪', 't̪s̪', 't̪s̪ʰ', 't̪ʰ', 'w', 'ŋ', 'a', 'a̤', 'e', 'e̤', 'i', 'i̤', 'o', 'o̤', 'u', 'ṳ']"
ATAYAL,"['j', 'k', 'l̪|l', 'm', 'n̪|n', 'p', 'q', 's̪|s', 't̪s̪|ts', 't̪|t', 'w', 'x', 'ħ', 'ŋ', 'ɣ', 'ɾ̪|ɾ', 'ʒ', 'ʔ', 'β', 'a', 'i', 'iː', 'u', 'uː', 'ɔ', 'ɛ']"
HUARI,"['b', 'd̠ʒ', 'd̪z̪|dz', 'd̪|d', 'f', 'h', 'j', 'k', 'm', 'n̪|n', 'p', 's̪|s', 't̠ʃ', 't̪s̪|ts', 't̪|t', 'ɡ', 'ɲ', 'ɺ̠', 'ʃ', 'ʒ', 'ʔ', 'β̞', 'a', 'ã', 'e̞', 'i', 'o̞', 'u', 'ũ', 'y', 'ɨ', 'ɪ̃']"
TABI,"['b', 'c', 'd̪', 'f', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 'r', 's', 't̪', 'w', 'z', 'ð', 'ŋ', 'ɟ', 'ɡ', 'ɲ', 'ʃ', 'ʔ', 'θ', 'a', 'e', 'i', 'o', 'u', 'ɔ', 'ə', 'ɛ', 'ɪ']"
TICUNA,"['b', 'd̠ʒ', 'd̪|d', 'f', 'k', 'kʷ', 'm', 'n̪|n', 'p', 's̪|s', 't̠ʃ', 't̪|t', 'w', 'ŋ', 'ɡ', 'ɲ', 'ɾ̪|ɾ', 'ʔ', 'a', 'ã', 'e̞', 'i', 'ĩ', 'o̞', 'õ̞', 'u', 'ũ', 'ɨ', 'ɨ̃']"
TULU,"['b', 'd̠ʒ', 'd̪', 'j', 'k', 'l̪', 'm', 'n̪', 'p', 'r', 's', 't̠ʃ', 't̪', 'x', 'ŋ', 'ɖ', 'ɡ', 'ɭ', 'ɲ', 'ɳ', 'ʂ', 'ʃ', 'ʈ', 'ʋ', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː', 'ɐ', 'ɛ', 'ɛː', 'ɯ']"
TEHUELCHE,"['b', 'd̪', 'h', 'j', 'k', 'kʼ', 'l̪', 'l̪̥', 'm', 'n̪', 'p', 'pʼ', 'q', 'r̪', 's̪', 'tɕ', 'tɕʼ', 't̠ʃ', 't̠ʃʼ', 't̪', 't̪s̪', 't̪s̪ʼ', 't̪ʼ', 'w', 'x', 'ɕ', 'ʃ', 'ʔ', 'a', 'e̞', 'i', 'o̞', 'u', 'ə', 'ɨ']"
TELUGU,"['b', 'b̤', 'dz', 'd̪', 'd̪̤|d̤', 'f', 'j', 'k', 'kʰ', 'l', 'm', 'n', 'p', 'pʰ', 's', 'ts', 'tɕ', 't̪', 'ɕ', 'ɖ', 'ɖ̤', 'ɡ', 'ɡ̤', 'ɦ', 'ɭ', 'ɳ', 'ɾ', 'ʂ', 'ʈ', 'ʈʰ', 'β̞', 'β̞ː', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː', 'æː', 'ɜ']"
TEMNE,"['b', 'd', 'f', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 'r', 's', 't', 't̪', 'w', 'ɡb', 'ʔ', 'a', 'e', 'i', 'o', 'u', 'ɑ', 'ɔ', 'ɛ']"
TEMEIN,"['b', 'd', 'd̪', 'j', 'k', 'l', 'm', 'n̪', 'p', 'r', 's', 't', 't̪', 'w', 'ŋ', 'ɟ', 'ɡ', 'ɲ', 'a', 'e', 'i', 'o', 'u', 'ɔ', 'ɛ']"
TETUN,"['b', 'd̪|d', 'f', 'h', 'k', 'l̪|l', 'm', 'n̪|n', 'p', 'r̪|r', 's̪|s', 't̪|t', 'w', 'ʔ', 'a', 'e̞', 'i', 'o̞', 'u']"
TIGAK,"['b', 'k', 'm', 'n', 'p', 'r', 's', 't', 'ŋ', 'ɡ', 'ɮ', 'β', 'i', 'u', 'ɐ', 'ɔ', 'ɛ']"
TAGALOG,"['b', 'd̪', 'f', 'h', 'j', 'k', 'l', 'm', 'n̪', 'p', 's', 't̠ʃ', 't̪', 'w', 'ŋ', 'ɡ', 'ɾ', 'ʔ', 'a', 'e̞', 'o̞', 'ɪ', 'ʊ']"
THAI,"['b', 'd̪', 'f', 'h', 'j', 'k', 'kʰ', 'l̪|l', 'm', 'n̪', 'p', 'pʰ', 's̪', 't̪', 't̪s̪', 't̪s̪ʰ', 't̪ʰ', 'w', 'ŋ', 'ɾ', 'ʔ', 'a', 'e', 'i', 'o', 'u', 'æ', 'ɔ', 'ɘ', 'ɨ']"
TAMASHEQ,"['b', 'd̪', 'd̪ˤ', 'f', 'h', 'j', 'k', 'l̪', 'm', 'n̪', 'q', 'r̪', 's̪', 't̪', 't̪ˤ', 'w', 'z̪', 'z̪ˤ', 'ɟ', 'ɡ', 'ɲ', 'ʁ', 'ʃ', 'ʒ', 'χ', 'e̞', 'e̞ː', 'i', 'iː', 'o̞', 'o̞ː', 'u', 'uː', 'æ', 'æː', 'ɐ', 'ə']"
TIGRE,"['b', 'd̠ʒ', 'd̪', 'f', 'h', 'j', 'k', 'kʼ', 'l', 'm', 'n̪', 'r', 's', 'tsʼ', 't̠ʃ', 't̠ʃʼ', 't̪', 't̪ʼ', 'w', 'z', 'ħ', 'ɡ', 'ʃ', 'ʒ', 'ʔ', 'ʕ', 'a̟ː', 'e̞ː', 'iː', 'o̞ː', 'uː', 'ə', 'ɜ']"
TIWI,"['j', 'k', 'l', 'm', 'mp', 'n', 'nt', 'n̪', 'n̪t̪', 'p', 't', 't̪', 'w', 'ŋ', 'ŋk', 'ɣ', 'ɭ', 'ɳ', 'ɳʈ', 'ɻ', 'ɾ', 'ʈ', 'a', 'i', 'u', 'ɔ']"
TIRURAY,"['b', 'd', 'h', 'j', 'k', 'l', 'm', 'n', 'r', 's', 't', 'w', 'ŋ', 'ɡ', 'ɸ', 'ʔ', 'a', 'i', 'u', 'ɔ', 'ɛ', 'ɨ']"
TLINGIT,"['b', 'd̠ʒ', 'd̪z̪|dz', 'd̪|d', 'd̪ɮ̪|dɮ', 'j', 'k', 'kʷ', 'kʷʼ', 'kʼ', 'n̪|n', 'p', 'pʼ', 'q', 'qʷ', 'qʷʼ', 'qʼ', 's̪|s', 's̪ʼ|sʼ', 't̠ʃ', 't̠ʃʼ', 't̪s̪|ts', 't̪s̪ʼ|tsʼ', 't̪|t', 't̪ɬ̪|tɬ', 't̪ɬ̪ʼ|tɬʼ', 't̪ʼ|tʼ', 'w', 'x', 'xʷ', 'xʷʼ', 'xʼ', 'ɡ', 'ɡʷ', 'ɢ', 'ɢʷ', 'ɬ̪|ɬ', 'ɬ̪ʼ|ɬʼ', 'ʔ', 'χ', 'χʷ', 'χʷʼ', 'χʼ', 'a', 'e̞', 'i', 'o̞', 'u']"
JOMANG,"['R', 'b', 'd', 'd̪', 'j', 'l', 'm', 'n', 's', 'w', 'ŋ', 'ɟ', 'ɡ', 'ɲ', 'a', 'i', 'u', 'ɔ', 'ɛ', 'ɪ', 'ʊ']"
TAMA,"['b', 'd̪', 'f', 'h', 'j', 'k', 'l', 'm', 'n', 'r', 's', 't̪', 'w', 'ħ', 'ŋ', 'ɓ', 'ɗ', 'ɟ', 'ɡ', 'ɲ', 'ɾ', 'a', 'e', 'i', 'o', 'u', 'ɔ', 'ɛ', 'ɪ', 'ʊ']"
ASMAT,"['f', 'k', 'm', 'n', 'p', 's', 't', 't̠ʃ', 'w', 'ɾ', 'ʝ', 'a', 'e', 'i', 'u', 'ɔ', 'ə']"
TACANA,"['b', 'd', 'j', 'k', 'm', 'n', 'p', 't', 't̠ʃ', 'w', 'ð', 'ɾ', 'ɾ͓', 'ʂ', 'ʃ', 'ʈʂ', 'ʔ', 'β', 'a', 'e̞', 'i', 'o̞']"
LENAKEL,"['f', 'h', 'k', 'l', 'm', 'mʷ', 'n', 'p', 'pʷ', 's', 't', 'w', 'ŋ', 'ɰ', 'ɾ', 'a', 'e̞', 'i', 'o̞', 'u', 'ə']"
TOTONAC,"['h', 'j', 'k', 'l', 'm', 'n', 'p', 'q', 's', 't', 'ts', 't̠ʃ', 'w', 'ɬ', 'ʃ', 'ʔ', 'aː', 'i', 'iː', 'u', 'uː', 'æ']"
TAMPULMA,"['b', 'c', 'd', 'f', 'h', 'j', 'k', 'kp', 'l', 'm', 'n', 'p', 'r', 's', 't', 'v', 'w', 'z', 'ŋ', 'ŋm', 'ɟ', 'ɡ', 'ɡb', 'ɲ', 'a', 'e', 'i', 'o', 'u', 'ɔ', 'ɛ', 'ɪ', 'ʊ']"
TLAPANEC,"['b', 'd̠ʒ', 'd̪', 'h', 'j', 'k', 'l̪|l', 'm', 'n̪', 'p', 'r', 's', 'ts', 't̠ʃ', 't̪', 'w', 'ɡ', 'ɸ', 'ʃ', 'ʔ', 'a', 'ã', 'e̞', 'ẽ̞', 'i', 'ĩ', 'o̞', 'õ̞', 'u', 'ũ']"
TRUMAI,"['f', 'h', 'j', 'k', 'l̪', 'm̥', 'n̪', 'p', 'r̪', 's', 't', 'ts', 't̪', 'w', 'xː', 'ɗ̥', 'ʃ', 'ʔ', 'a', 'i', 'o', 'u', 'ɘ', 'ɛ']"
TAORIPI,"['f', 'h', 'k', 'l̪|l', 'm', 'p', 's̪|s', 't̪|t', 'a', 'e̞', 'i', 'o̞', 'u', 'ɔ']"
TONKAWA,"['h', 'j', 'k', 'kʷ', 'l̪', 'm', 'n̪', 'p', 's̪|s', 't̪s̪|ts', 't̪|t', 'w', 'x', 'xʷ', 'ʔ', 'a', 'aː', 'eː', 'i', 'iː', 'oː', 'u', 'uː', 'ɔ', 'ɛ']"
NEO-ARAMAIC,"['b', 'd̠ʒ', 'd̪', 'f', 'h', 'j', 'k', 'l', 'm', 'n̪', 'p', 'q', 's', 't̠ʃ', 't̪', 'z', 'ɡ', 'ɾ', 'ʁ', 'ʃ', 'ʒ', 'ʔ', 'β', 'χ', 'a', 'aː', 'aˤ', 'aˤː', 'e̞', 'e̞ˤ', 'i', 'iː', 'iˤ', 'iˤː', 'o̞', 'o̞ˤ', 'u', 'uː', 'uˤ', 'uˤː']"
TSIMSHIAN,"['b', 'd', 'dz', 'h', 'j', 'j̰', 'k', 'kʲ', 'kʲʼ', 'kʷ', 'kʷʼ', 'kʼ', 'l', 'l̰', 'm', 'm̰', 'n', 'n̰', 'p', 'pʼ', 'q', 'qʼ', 's', 't', 'ts', 'tsʼ', 'tʼ', 'w', 'w̰', 'ɡ', 'ɡʲ', 'ɡʷ', 'ɢ', 'ɬ', 'ɰ', 'ɰ̰', 'ʔ', 'χ', 'a', 'i', 'u']"
TSOU,"['b̰', 'f', 'h', 'k', 'l̪̰|l̰', 'm', 'n̪|n', 'p', 't̪|t', 'v', 'ŋ', 'ʂ', 'ʈʂ', 'ʐ', 'ʔ', 'a', 'e̞', 'i', 'o̞', 'u', 'ʉ']"
TARASCAN,"['b', 'd', 'f', 'h', 'j', 'k', 'kʰ', 'kʷ', 'kʷʰ', 'l̪|l', 'm', 'n̪|n', 'p', 'pʰ', 'r', 's̪|s', 't', 'ts', 'tsʰ', 'tʰ', 't̠ʃ', 't̠ʃʰ', 'w', 'x', 'ŋ', 'ɡ', 'ɭ', 'ɲ', 'ɸ', 'ɹ', 'ʂ', 'ʃ', 'ʔ', 'a', 'i', 'o', 'u', 'ɛ', 'ɨ˞']"
TERA,"['b', 'cç', 'd', 'f', 'j', 'k', 'kʷ', 'l', 'm', 'mb', 'n', 'nd', 'p', 'pʲ', 'r', 's', 't', 'v', 'vʲ', 'w', 'x', 'xʷ', 'z', 'ŋ', 'ŋɡ', 'ŋɡʷ', 'ɓ', 'ɓʲ', 'ɕ', 'ɗ', 'ɟʝ', 'ɠ', 'ɡ', 'ɡʷ', 'ɣ', 'ɣʷ', 'ɬ', 'ɮ', 'ɲ', 'ɲɟʝ', 'ʄ', 'ʑ', 'a', 'e̞', 'i', 'o̞', 'u', 'ɨ']"
TUNICA,"['b', 'd', 'h', 'j', 'kʰ', 'l', 'm', 'n', 'pʰ', 'r', 's', 'tʰ', 't̠ʃʰ', 'w', 'ɡ', 'ʃ', 'ʔ', 'a', 'e', 'i', 'o', 'u', 'ɔ', 'ɛ']"
TURKISH,"['b', 'c', 'd̠ʒ', 'd̪', 'f', 'h', 'j', 'k', 'l̪|l', 'm', 'n̪', 'p', 'r', 's', 't̠ʃ', 't̪', 'v', 'z', 'ɟ', 'ɡ', 'ɣ', 'ʃ', 'ʎ', 'ʒ', 'ʔ', 'a', 'o̞', 'œ', 'ɛ', 'ɪ', 'ɯ̞', 'ʊ', 'ʏ']"
PICURIS,"['R̪|R', 'b', 'd̪|d', 'h', 'j', 'k', 'kʷ', 'kʷʼ', 'kʼ', 'l̪|l', 'm', 'n̪|n', 'p', 'pʰ', 'pʼ', 's̪|s', 't̠ʃ', 't̪|t', 't̪ʰ|tʰ', 't̪ʼ|tʼ', 'w', 'x', 'xʷ', 'ɡ', 'ɬ̪|ɬ', 'ʔ', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɑ', 'ɑ̃', 'ə', 'ə̃']"
TUVA,"['b', 'd̠ʒ', 'd̪', 'd̪z̪', 'f', 'j', 'k', 'l̪', 'm', 'n̪', 'p', 'r', 's̪', 't̠ʃ', 't̪', 't̪s̪', 'ŋ', 'ɡ', 'ʃ', 'β', 'e', 'i', 'o', 'u', 'y', 'ø', 'ɑ', 'ɛ', 'ɤ']"
TZELTAL,"['b', 'd̪', 'h', 'kʰ', 'kʼ', 'l̪', 'm', 'n̪', 'p', 'pʼ', 's', 's̪', 'ts', 'tsʼ', 't̪', 't̪s̪', 't̪s̪ʼ', 't̪ʼ', 'w', 'ɡ', 'ɾ', 'ʔ', 'a', 'e̞', 'o̞', 'y', 'ɪ', 'ʊ']"
NGARINJIN,"['c', 'j', 'k', 'l', 'm', 'n', 'p', 'r', 't', 'w', 'ŋ', 'ɭ', 'ɲ', 'ɳ', 'ɻ', 'ɾ', 'ʈ', 'ʎ', 'a', 'ɔ', 'ɛ', 'ɨ', 'ɪ', 'ʊ']"
MUNDARI,"['b', 'b̤', 'd̠ʒ', 'd̠ʒ̤', 'd̪', 'd̪̤', 'h', 'j', 'k', 'kʰ', 'l̪', 'm', 'n̪', 'p', 'pʰ', 'r', 's', 't̠ʃ', 't̠ʃʰ', 't̪', 't̪ʰ', 'w', 'ŋ', 'ɖ', 'ɖ̤', 'ɡ', 'ɡ̤', 'ɭ', 'ɳ', 'ʈ', 'ʈʰ', 'ʔ', 'a', 'e̞', 'o̞', 'ɪ', 'ʊ']"
UZBEK,"['b', 'd̠ʒ', 'd̪', 'f', 'h', 'j', 'k', 'l', 'm', 'n̪', 'p', 'q', 's', 't̠ʃ', 't̪', 'z', 'ŋ', 'ɡ', 'ɸ', 'ɾ', 'ʁ', 'ʃ', 'β̞ˠ', 'χ', 'e', 'i', 'æ', 'ɒ', 'ɵ', 'ʉ']"
VANIMO,"['b', 'd', 'd̠', 'l', 'm', 'n', 'n̠', 'p', 's', 't', 'ɦ', 'β', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɔ', 'ɔ̃', 'ɛ', 'ɛ̃', 'ɵ', 'ɵ̃']"
VIETNAMESE,"['c', 'f', 'h', 'j', 'k', 'l̪', 'm', 'n̪', 'p', 's', 't̪', 't̪ʰ', 'v', 'w', 'x', 'z', 'ŋ', 'ɓ', 'ɗ', 'ɣ', 'ɲ', 'ʔ', 'a', 'e', 'iʌ', 'o', 'uʌ', 'ɐ', 'ɔ', 'ɛ', 'ɤ', 'ɪ', 'ɯʌ', 'ɯ̞', 'ʊ', 'ʌ']"
MBABARAM,"['b', 'd̠', 'd̪|d', 'j', 'l̪|l', 'm', 'mb', 'n̠', 'n̠d̠', 'n̪d̪|nd', 'n̪|n', 'r̪|r', 'w', 'ŋ', 'ŋɡ', 'ŋɡʷ', 'ŋʷ', 'ɡ', 'ɡʷ', 'ɽ', 'a', 'i', 'u', 'ɯ']"
WAPPO,"['R̪|R', 'R̪̰|R̰', 'b', 'd̪', 'f', 'h', 'j', 'j̰', 'k', 'kʼ', 'l̪|l', 'l̪̰|l̰', 'm', 'm̰', 'n̪|n', 'n̪̰|n̰', 'p', 'pʼ', 's̪|s', 't', 'tʼ', 't̠ʃ', 't̠ʃʼ', 't̪', 't̪s̪|ts', 't̪s̪ʼ|tsʼ', 't̪ʼ', 'ɡ', 'ʃ', 'ʔ', 'a', 'e̞', 'i', 'o̞', 'u']"
WAPISHANA,"['b̰', 'd', 'd̰', 'h', 'kʰ', 'm', 'n̠', 'pʰ', 's', 'tʰ', 't̠ʃʰ', 'w', 'ɡ', 'ɾ', 'ʃ', 'ʐ̰', 'ʔ', 'a', 'ã', 'i', 'ĩ', 'u', 'ũ', 'ɨ', 'ɨ̃']"
WARAO,"['b', 'h', 'j', 'k', 'kʷ', 'm', 'n', 's', 't', 'ɺ', 'β̞', 'a', 'ã', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɛ', 'ɛ̃']"
WAHGI,"['j', 'k', 'm', 'mb', 'n', 'nd', 'n̪', 'n̪d̪z̪', 'p', 't', 't̪s̪', 'w', 'ŋ', 'ŋɡ', 'ɬ', 'ɬ̪', 'ʟ͓̥', 'a', 'e̞', 'i', 'u', 'ɔ', 'ɪ']"
WICHITA,"['R̪̰|R̰', 'k', 'kʰ', 'kʷ', 'kʷʰ', 'kʼ', 'n̪|n', 'n̪ː|nː', 's̪|s', 's̪ʼ|sʼ', 's̪ː|sː', 't̪s̪|ts', 't̪s̪ʼ|tsʼ', 't̪s̪ː|tsː', 't̪|t', 't̪ʰ|tʰ', 'w', 'w̰', 'ɦ', 'ʈʂʰ', 'ʔ', 'eː', 'i', 'oː', 'u', 'ɒ', 'ɒː', 'ɛ', 'ɛː']"
WIK-MUNKAN,"['j', 'k', 'l', 'm', 'n', 'n̠', 'p', 'r', 't', 't̠', 'w', 'ŋ', 'ʔ', 'a', 'i', 'ɔ', 'ɛ', 'ʊ']"
WINTU,"['b', 'd', 'd̠ʒ', 'f', 'h', 'j', 'k', 'kʼ', 'm', 'n', 'p', 'pʰ', 'pʼ', 'q', 'qʼ', 's', 't', 'tsʼ', 'tɬ', 'tɬʼ', 'tʰ', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'w', 'x', 'ɹ', 'ʔ', 'θ', 'χ', 'a', 'e̞', 'i', 'o̞', 'u']"
WIYOT,"['j', 'k', 'kʰ', 'kʷ', 'kʷʰ', 'l̪|l', 'm', 'n̪|n', 'p', 'pʰ', 's̪|s', 't̠ʃ', 't̠ʃʰ', 't̪s̪|ts', 't̪s̪ʰ|tsʰ', 't̪|t', 't̪ʰ|tʰ', 'w', 'ɬ̪|ɬ', 'ɰ', 'ɹ', 'ɻ', 'ʃ', 'ʔ', 'a', 'e̞', 'i', 'o̞', 'u']"
WANTOAT,"['k', 'kʷ', 'm', 'mb', 'n̪d̪|nd', 'n̪z̪|nz', 'n̪|n', 'p', 's̪|s', 't̪|t', 'ŋ', 'ŋɡ', 'ŋɡʷ', 'ŋʷ', 'a', 'e̞', 'i', 'o̞', 'u', 'æ', 'ə']"
USAN,"['b', 'd', 'j', 'm', 'mb', 'n', 'nd', 'p', 's', 't', 'w', 'ŋɡ', 'ɡ', 'ʔ', 'a', 'i', 'u', 'ɔ', 'ɛ', 'ʌ']"
WOISIKA,"['b', 'd̪|d', 'f', 'h', 'j', 'k', 'l̪|l', 'm', 'n̪|n', 'p', 'r̪|r', 's̪|s', 't̪|t', 'ŋ', 'ɡ', 'ʋ', 'a', 'a̟', 'e̠̞', 'o̟̞', 'ɑ', 'ɒ', 'ɔ', 'ɛ', 'ɨ', 'ɪ', 'ʉ', 'ʊ']"
WOLOF,"['b', 'bː', 'c', 'd', 'f', 'j', 'k', 'l̪', 'l̪ː', 'm', 'mː', 'n', 'nː', 'p', 'qχ', 's', 't', 'w', 'ŋ', 'ɟ', 'ɟː', 'ɡ', 'ɲ', 'ɾ̪|ɾ', 'ʔ', 'χ', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'oː', 'u', 'uː', 'ø', 'ɔ', 'ɔː', 'ɛ', 'ɛː']"
WARIS,"['R̪|R', 'j', 'k', 'l̪|l', 'mb', 'n̪d̪|nd', 'p', 's̪|s', 't̪|t', 'w', 'x', 'ŋɡ', 'β', 'a', 'e', 'i', 'o̞', 'u', 'æ', 'ɒ', 'ə', 'ɛ']"
WARAY,"['c', 'cː', 'j', 'k', 'kː', 'l', 'm', 'n', 'p', 'pː', 'r', 't', 'tː', 'w', 'ŋ', 'ɲ', 'a̟', 'i', 'u', 'ɔ', 'ɛ']"
